h3_08,municipio,operator,variable,median
8849958009fffff,Milpa Alta,Telcel,m_download_mbps,114.87
884995800bfffff,Milpa Alta,ALTAN Redes,m_download_mbps,6.121
884995800bfffff,Milpa Alta,Telcel,m_download_mbps,9.169
884995800dfffff,Milpa Alta,ALTAN Redes,m_download_mbps,15.52
884995800dfffff,Milpa Alta,AT&T,m_download_mbps,26.6445
884995800dfffff,Milpa Alta,Movistar,m_download_mbps,1.007
884995800dfffff,Milpa Alta,Telcel,m_download_mbps,28.152499999999996
8849958011fffff,Milpa Alta,ALTAN Redes,m_download_mbps,5.606
8849958011fffff,Milpa Alta,AT&T,m_download_mbps,9.799
8849958011fffff,Milpa Alta,Movistar,m_download_mbps,22.3125
8849958011fffff,Milpa Alta,Telcel,m_download_mbps,20.705
8849958013fffff,Milpa Alta,ALTAN Redes,m_download_mbps,4.3
8849958013fffff,Milpa Alta,AT&T,m_download_mbps,17.1615
8849958013fffff,Milpa Alta,Movistar,m_download_mbps,1.563
8849958013fffff,Milpa Alta,Telcel,m_download_mbps,31.002
8849958013fffff,Xochimilco,Telcel,m_download_mbps,49.32
8849958015fffff,Milpa Alta,Telcel,m_download_mbps,34.286
8849958017fffff,Milpa Alta,Telcel,m_download_mbps,73.781
8849958019fffff,Milpa Alta,ALTAN Redes,m_download_mbps,0.768
8849958019fffff,Milpa Alta,AT&T,m_download_mbps,12.087
8849958019fffff,Milpa Alta,Movistar,m_download_mbps,21.7865
8849958019fffff,Milpa Alta,Telcel,m_download_mbps,6.8725000000000005
884995801bfffff,Milpa Alta,ALTAN Redes,m_download_mbps,1.322
884995801bfffff,Milpa Alta,Movistar,m_download_mbps,41.526
884995801bfffff,Milpa Alta,Telcel,m_download_mbps,27.028
884995801dfffff,Milpa Alta,ALTAN Redes,m_download_mbps,0.33
884995801dfffff,Milpa Alta,Movistar,m_download_mbps,12.82
884995801dfffff,Milpa Alta,Telcel,m_download_mbps,9.183499999999999
8849958021fffff,Milpa Alta,ALTAN Redes,m_download_mbps,4.149
8849958021fffff,Milpa Alta,AT&T,m_download_mbps,27.002
8849958021fffff,Milpa Alta,Movistar,m_download_mbps,2.457
8849958021fffff,Milpa Alta,Telcel,m_download_mbps,13.235
8849958023fffff,Milpa Alta,ALTAN Redes,m_download_mbps,1.881
8849958023fffff,Milpa Alta,Movistar,m_download_mbps,12.801
8849958023fffff,Milpa Alta,Telcel,m_download_mbps,30.3935
8849958025fffff,Milpa Alta,AT&T,m_download_mbps,41.002
8849958025fffff,Milpa Alta,Movistar,m_download_mbps,28.133
8849958025fffff,Milpa Alta,Telcel,m_download_mbps,42.061
8849958027fffff,Milpa Alta,ALTAN Redes,m_download_mbps,24.289
8849958027fffff,Milpa Alta,AT&T,m_download_mbps,28.232
8849958027fffff,Milpa Alta,Movistar,m_download_mbps,25.065
8849958027fffff,Milpa Alta,Telcel,m_download_mbps,37.713
8849958029fffff,Milpa Alta,ALTAN Redes,m_download_mbps,13.874
8849958029fffff,Milpa Alta,Telcel,m_download_mbps,33.958
884995802bfffff,Milpa Alta,ALTAN Redes,m_download_mbps,1.378
884995802bfffff,Milpa Alta,Telcel,m_download_mbps,22.700499999999998
884995802dfffff,Milpa Alta,ALTAN Redes,m_download_mbps,1.023
884995802dfffff,Milpa Alta,Movistar,m_download_mbps,16.4695
884995802dfffff,Milpa Alta,Telcel,m_download_mbps,18.2985
8849958035fffff,Milpa Alta,Telcel,m_download_mbps,9.515
8849958041fffff,Milpa Alta,ALTAN Redes,m_download_mbps,22.204
8849958041fffff,Milpa Alta,Telcel,m_download_mbps,3.278
8849958043fffff,Milpa Alta,ALTAN Redes,m_download_mbps,9.508
8849958043fffff,Milpa Alta,Telcel,m_download_mbps,23.436999999999998
8849958045fffff,Milpa Alta,Telcel,m_download_mbps,16.137
8849958047fffff,Milpa Alta,ALTAN Redes,m_download_mbps,5.642
884995804bfffff,Milpa Alta,ALTAN Redes,m_download_mbps,61.348
884995804bfffff,Milpa Alta,Telcel,m_download_mbps,105.23949999999999
8849958051fffff,Milpa Alta,Telcel,m_download_mbps,11.774
8849958053fffff,Milpa Alta,ALTAN Redes,m_download_mbps,4.2365
8849958053fffff,Milpa Alta,Telcel,m_download_mbps,1.455
8849958055fffff,Milpa Alta,Telcel,m_download_mbps,8.924
884995805bfffff,Milpa Alta,Telcel,m_download_mbps,10.882
884995805dfffff,Milpa Alta,Telcel,m_download_mbps,22.289
8849958061fffff,Milpa Alta,Movistar,m_download_mbps,4.282
8849958063fffff,Milpa Alta,ALTAN Redes,m_download_mbps,7.008
