h3_08,municipio,operator,variable,median
8849958551fffff,Tlalpan,ALTAN Redes,m_download_mbps,8.835
8849958551fffff,Tlalpan,AT&T,m_download_mbps,3.667
8849958551fffff,Tlalpan,Movistar,m_download_mbps,1.824
8849958551fffff,Tlalpan,Telcel,m_download_mbps,57.683
8849958551fffff,Xochimilco,ALTAN Redes,m_download_mbps,2.207
8849958551fffff,Xochimilco,AT&T,m_download_mbps,4.899
8849958551fffff,Xochimilco,Movistar,m_download_mbps,1.06
8849958551fffff,Xochimilco,Telcel,m_download_mbps,22.543
8849958553fffff,Tlalpan,ALTAN Redes,m_download_mbps,26.937
8849958553fffff,Tlalpan,AT&T,m_download_mbps,11.329
8849958553fffff,Tlalpan,Movistar,m_download_mbps,12.105
8849958553fffff,Tlalpan,Telcel,m_download_mbps,32.5755
8849958555fffff,Tlalpan,ALTAN Redes,m_download_mbps,46.3645
8849958555fffff,Tlalpan,AT&T,m_download_mbps,34.351
8849958555fffff,Tlalpan,Movistar,m_download_mbps,50.6055
8849958555fffff,Tlalpan,Telcel,m_download_mbps,49.216
8849958555fffff,Xochimilco,ALTAN Redes,m_download_mbps,7.532
8849958555fffff,Xochimilco,AT&T,m_download_mbps,2.8855000000000004
8849958555fffff,Xochimilco,Movistar,m_download_mbps,7.293
8849958555fffff,Xochimilco,Telcel,m_download_mbps,30.6425
8849958557fffff,Tlalpan,ALTAN Redes,m_download_mbps,14.814
8849958557fffff,Tlalpan,AT&T,m_download_mbps,8.858
8849958557fffff,Tlalpan,Movistar,m_download_mbps,12.908
8849958557fffff,Tlalpan,Telcel,m_download_mbps,41.462
8849958559fffff,Xochimilco,ALTAN Redes,m_download_mbps,12.727
8849958559fffff,Xochimilco,AT&T,m_download_mbps,12.266
8849958559fffff,Xochimilco,Movistar,m_download_mbps,16.2105
8849958559fffff,Xochimilco,Telcel,m_download_mbps,16.322
884995855bfffff,Tlalpan,ALTAN Redes,m_download_mbps,10.120999999999999
884995855bfffff,Tlalpan,AT&T,m_download_mbps,37.626
884995855bfffff,Tlalpan,Movistar,m_download_mbps,29.8945
884995855bfffff,Tlalpan,Telcel,m_download_mbps,34.244
884995855bfffff,Xochimilco,ALTAN Redes,m_download_mbps,17.878999999999998
884995855bfffff,Xochimilco,AT&T,m_download_mbps,24.1045
884995855bfffff,Xochimilco,Movistar,m_download_mbps,31.677
884995855bfffff,Xochimilco,Telcel,m_download_mbps,22.942
884995855dfffff,Xochimilco,ALTAN Redes,m_download_mbps,2.0975
884995855dfffff,Xochimilco,AT&T,m_download_mbps,8.004
884995855dfffff,Xochimilco,Movistar,m_download_mbps,5.374
884995855dfffff,Xochimilco,Telcel,m_download_mbps,25.551000000000002
8849958565fffff,Iztapalapa,ALTAN Redes,m_download_mbps,12.67
8849958565fffff,Iztapalapa,AT&T,m_download_mbps,7.167
8849958565fffff,Iztapalapa,Movistar,m_download_mbps,1.9775
8849958565fffff,Iztapalapa,Telcel,m_download_mbps,28.593
8849958565fffff,Tláhuac,ALTAN Redes,m_download_mbps,12.438
8849958565fffff,Tláhuac,AT&T,m_download_mbps,0.859
8849958565fffff,Tláhuac,Movistar,m_download_mbps,1.265
8849958565fffff,Tláhuac,Telcel,m_download_mbps,18.262
8849958565fffff,Xochimilco,ALTAN Redes,m_download_mbps,2.63
8849958565fffff,Xochimilco,Movistar,m_download_mbps,19.157
8849958565fffff,Xochimilco,Telcel,m_download_mbps,10.022
8849958567fffff,Iztapalapa,ALTAN Redes,m_download_mbps,6.682
8849958567fffff,Iztapalapa,AT&T,m_download_mbps,24.835
8849958567fffff,Iztapalapa,Movistar,m_download_mbps,32.5445
8849958567fffff,Iztapalapa,Telcel,m_download_mbps,53.047
8849958567fffff,Xochimilco,ALTAN Redes,m_download_mbps,24.391
8849958567fffff,Xochimilco,AT&T,m_download_mbps,27.496499999999997
8849958567fffff,Xochimilco,Movistar,m_download_mbps,57.254999999999995
8849958569fffff,Xochimilco,ALTAN Redes,m_download_mbps,10.54
8849958581fffff,Coyoacán,ALTAN Redes,m_download_mbps,22.028
8849958581fffff,Coyoacán,AT&T,m_download_mbps,22.89
8849958581fffff,Coyoacán,Movistar,m_download_mbps,37.141000000000005
8849958581fffff,Coyoacán,Telcel,m_download_mbps,51.7485
8849958583fffff,Benito Juárez,ALTAN Redes,m_download_mbps,2.306
8849958583fffff,Benito Juárez,AT&T,m_download_mbps,9.931000000000001
8849958583fffff,Benito Juárez,Movistar,m_download_mbps,24.008000000000003
8849958583fffff,Benito Juárez,Telcel,m_download_mbps,30.457
8849958583fffff,Coyoacán,ALTAN Redes,m_download_mbps,2.923
8849958583fffff,Coyoacán,AT&T,m_download_mbps,7.643
8849958583fffff,Coyoacán,Movistar,m_download_mbps,18.781
8849958583fffff,Coyoacán,Telcel,m_download_mbps,15.377
8849958583fffff,Iztapalapa,ALTAN Redes,m_download_mbps,0.8645
8849958583fffff,Iztapalapa,AT&T,m_download_mbps,12.392499999999998
8849958583fffff,Iztapalapa,Movistar,m_download_mbps,34.8485
8849958583fffff,Iztapalapa,Telcel,m_download_mbps,49.0945
8849958585fffff,Coyoacán,ALTAN Redes,m_download_mbps,10.6845
8849958585fffff,Coyoacán,AT&T,m_download_mbps,39.095
8849958585fffff,Coyoacán,Movistar,m_download_mbps,30.988
8849958585fffff,Coyoacán,Telcel,m_download_mbps,35.603
8849958587fffff,Coyoacán,ALTAN Redes,m_download_mbps,20.380499999999998
8849958587fffff,Coyoacán,AT&T,m_download_mbps,31.602
8849958587fffff,Coyoacán,Movistar,m_download_mbps,55.998000000000005
8849958587fffff,Coyoacán,Telcel,m_download_mbps,28.351
8849958587fffff,Iztapalapa,ALTAN Redes,m_download_mbps,16.524
8849958587fffff,Iztapalapa,AT&T,m_download_mbps,5.948
8849958587fffff,Iztapalapa,Movistar,m_download_mbps,3.8705
8849958587fffff,Iztapalapa,Telcel,m_download_mbps,57.872
8849958589fffff,Coyoacán,ALTAN Redes,m_download_mbps,11.052
8849958589fffff,Coyoacán,AT&T,m_download_mbps,6.0075
8849958589fffff,Coyoacán,Movistar,m_download_mbps,3.8875
8849958589fffff,Coyoacán,Telcel,m_download_mbps,29.192
884995858bfffff,Coyoacán,ALTAN Redes,m_download_mbps,4.298
884995858bfffff,Coyoacán,AT&T,m_download_mbps,25.145
884995858bfffff,Coyoacán,Movistar,m_download_mbps,29.432
884995858bfffff,Coyoacán,Telcel,m_download_mbps,45.386
884995858dfffff,Coyoacán,ALTAN Redes,m_download_mbps,24.047
884995858dfffff,Coyoacán,AT&T,m_download_mbps,28.113500000000002
884995858dfffff,Coyoacán,Movistar,m_download_mbps,35.988
884995858dfffff,Coyoacán,Telcel,m_download_mbps,64.79599999999999
8849958591fffff,Benito Juárez,ALTAN Redes,m_download_mbps,9.043
8849958591fffff,Benito Juárez,AT&T,m_download_mbps,12.617
8849958591fffff,Benito Juárez,Movistar,m_download_mbps,21.321
8849958591fffff,Benito Juárez,Telcel,m_download_mbps,78.743
8849958593fffff,Benito Juárez,ALTAN Redes,m_download_mbps,3.912
8849958593fffff,Benito Juárez,AT&T,m_download_mbps,11.838999999999999
8849958593fffff,Benito Juárez,Movistar,m_download_mbps,14.534
8849958593fffff,Benito Juárez,Telcel,m_download_mbps,86.362
8849958595fffff,Benito Juárez,ALTAN Redes,m_download_mbps,10.245
8849958595fffff,Benito Juárez,AT&T,m_download_mbps,16.15
8849958595fffff,Benito Juárez,Movistar,m_download_mbps,20.911
8849958595fffff,Benito Juárez,Telcel,m_download_mbps,39.087500000000006
8849958597fffff,Benito Juárez,ALTAN Redes,m_download_mbps,7.46
8849958597fffff,Benito Juárez,AT&T,m_download_mbps,28.5535
8849958597fffff,Benito Juárez,Movistar,m_download_mbps,12.538
8849958597fffff,Benito Juárez,Telcel,m_download_mbps,56.2335
8849958599fffff,Benito Juárez,ALTAN Redes,m_download_mbps,16.9375
8849958599fffff,Benito Juárez,AT&T,m_download_mbps,72.925
8849958599fffff,Benito Juárez,Movistar,m_download_mbps,0.087
8849958599fffff,Benito Juárez,Telcel,m_download_mbps,55.0985
8849958599fffff,Coyoacán,ALTAN Redes,m_download_mbps,3.059
8849958599fffff,Coyoacán,AT&T,m_download_mbps,11.6985
8849958599fffff,Coyoacán,Movistar,m_download_mbps,13.957
8849958599fffff,Coyoacán,Telcel,m_download_mbps,55.588
884995859bfffff,Benito Juárez,ALTAN Redes,m_download_mbps,5.082
884995859bfffff,Benito Juárez,AT&T,m_download_mbps,10.59
884995859bfffff,Benito Juárez,Movistar,m_download_mbps,9.788
884995859bfffff,Benito Juárez,Telcel,m_download_mbps,24.804
884995859bfffff,Coyoacán,ALTAN Redes,m_download_mbps,5.812
884995859bfffff,Coyoacán,AT&T,m_download_mbps,18.428
884995859bfffff,Coyoacán,Movistar,m_download_mbps,8.797
884995859bfffff,Coyoacán,Telcel,m_download_mbps,43.8125
884995859dfffff,Benito Juárez,ALTAN Redes,m_download_mbps,32.483
884995859dfffff,Benito Juárez,AT&T,m_download_mbps,14.4195
884995859dfffff,Benito Juárez,Movistar,m_download_mbps,45.332
884995859dfffff,Benito Juárez,Telcel,m_download_mbps,15.524
884995859dfffff,Coyoacán,ALTAN Redes,m_download_mbps,12.953
884995859dfffff,Coyoacán,AT&T,m_download_mbps,4.903
884995859dfffff,Coyoacán,Movistar,m_download_mbps,11.8575
884995859dfffff,Coyoacán,Telcel,m_download_mbps,63.346000000000004
88499585a1fffff,Iztapalapa,ALTAN Redes,m_download_mbps,12.739
88499585a1fffff,Iztapalapa,AT&T,m_download_mbps,28.926000000000002
88499585a1fffff,Iztapalapa,Movistar,m_download_mbps,24.643
88499585a1fffff,Iztapalapa,Telcel,m_download_mbps,53.8845
88499585a3fffff,Iztapalapa,ALTAN Redes,m_download_mbps,14.2585
88499585a3fffff,Iztapalapa,AT&T,m_download_mbps,15.788
88499585a3fffff,Iztapalapa,Movistar,m_download_mbps,11.2725
88499585a3fffff,Iztapalapa,Telcel,m_download_mbps,49.456500000000005
88499585a5fffff,Iztapalapa,ALTAN Redes,m_download_mbps,3.838
88499585a5fffff,Iztapalapa,AT&T,m_download_mbps,7.72
88499585a5fffff,Iztapalapa,Movistar,m_download_mbps,21.199
88499585a5fffff,Iztapalapa,Telcel,m_download_mbps,44.2695
88499585a7fffff,Iztapalapa,ALTAN Redes,m_download_mbps,10.031500000000001
88499585a7fffff,Iztapalapa,AT&T,m_download_mbps,16.0625
88499585a7fffff,Iztapalapa,Movistar,m_download_mbps,27.395
88499585a7fffff,Iztapalapa,Telcel,m_download_mbps,36.900000000000006
88499585a9fffff,Coyoacán,ALTAN Redes,m_download_mbps,27.351
88499585a9fffff,Coyoacán,AT&T,m_download_mbps,35.843
88499585a9fffff,Coyoacán,Movistar,m_download_mbps,76.7225
88499585a9fffff,Coyoacán,Telcel,m_download_mbps,67.132
88499585a9fffff,Iztapalapa,ALTAN Redes,m_download_mbps,22.397
88499585a9fffff,Iztapalapa,AT&T,m_download_mbps,16.203
88499585a9fffff,Iztapalapa,Movistar,m_download_mbps,12.1095
88499585a9fffff,Iztapalapa,Telcel,m_download_mbps,59.703500000000005
88499585abfffff,Coyoacán,ALTAN Redes,m_download_mbps,8.403
88499585abfffff,Coyoacán,AT&T,m_download_mbps,6.2445
88499585abfffff,Coyoacán,Movistar,m_download_mbps,3.501
88499585abfffff,Coyoacán,Telcel,m_download_mbps,33.287
88499585abfffff,Iztapalapa,ALTAN Redes,m_download_mbps,5.9015
88499585abfffff,Iztapalapa,AT&T,m_download_mbps,2.9924999999999997
88499585abfffff,Iztapalapa,Movistar,m_download_mbps,4.5585
88499585abfffff,Iztapalapa,Telcel,m_download_mbps,74.957
88499585adfffff,Iztapalapa,ALTAN Redes,m_download_mbps,12.340499999999999
88499585adfffff,Iztapalapa,AT&T,m_download_mbps,21.334
88499585adfffff,Iztapalapa,Movistar,m_download_mbps,23.988
88499585adfffff,Iztapalapa,Telcel,m_download_mbps,25.559
88499585b1fffff,Iztapalapa,ALTAN Redes,m_download_mbps,5.147
88499585b1fffff,Iztapalapa,AT&T,m_download_mbps,36.627
88499585b1fffff,Iztapalapa,Movistar,m_download_mbps,52.813
88499585b1fffff,Iztapalapa,Telcel,m_download_mbps,52.3475
88499585b3fffff,Benito Juárez,ALTAN Redes,m_download_mbps,4.8865
88499585b3fffff,Benito Juárez,AT&T,m_download_mbps,15.565
88499585b3fffff,Benito Juárez,Movistar,m_download_mbps,24.076
88499585b3fffff,Benito Juárez,Telcel,m_download_mbps,36.766999999999996
88499585b3fffff,Iztacalco,ALTAN Redes,m_download_mbps,4.53
88499585b3fffff,Iztacalco,AT&T,m_download_mbps,88.931
88499585b3fffff,Iztacalco,Movistar,m_download_mbps,63.322
88499585b3fffff,Iztacalco,Telcel,m_download_mbps,91.7165
88499585b3fffff,Iztapalapa,ALTAN Redes,m_download_mbps,2.971
88499585b3fffff,Iztapalapa,AT&T,m_download_mbps,12.443
88499585b3fffff,Iztapalapa,Movistar,m_download_mbps,34.671
88499585b3fffff,Iztapalapa,Telcel,m_download_mbps,111.4185
88499585b5fffff,Iztacalco,ALTAN Redes,m_download_mbps,19.639
88499585b5fffff,Iztacalco,AT&T,m_download_mbps,50.612
88499585b5fffff,Iztacalco,Movistar,m_download_mbps,10.3765
88499585b5fffff,Iztacalco,Telcel,m_download_mbps,56.738
88499585b5fffff,Iztapalapa,ALTAN Redes,m_download_mbps,13.774
88499585b5fffff,Iztapalapa,AT&T,m_download_mbps,9.523
88499585b5fffff,Iztapalapa,Movistar,m_download_mbps,17.712
88499585b5fffff,Iztapalapa,Telcel,m_download_mbps,59.4285
88499585b7fffff,Iztacalco,ALTAN Redes,m_download_mbps,7.713
88499585b7fffff,Iztacalco,AT&T,m_download_mbps,13.9485
88499585b7fffff,Iztacalco,Movistar,m_download_mbps,11.368500000000001
88499585b7fffff,Iztacalco,Telcel,m_download_mbps,55.396
88499585b7fffff,Iztapalapa,ALTAN Redes,m_download_mbps,5.846
88499585b7fffff,Iztapalapa,AT&T,m_download_mbps,6.5425
88499585b7fffff,Iztapalapa,Movistar,m_download_mbps,11.909
88499585b7fffff,Iztapalapa,Telcel,m_download_mbps,65.457
88499585b9fffff,Benito Juárez,ALTAN Redes,m_download_mbps,5.019
88499585b9fffff,Benito Juárez,AT&T,m_download_mbps,24.001
88499585b9fffff,Benito Juárez,Movistar,m_download_mbps,59.591
88499585b9fffff,Benito Juárez,Telcel,m_download_mbps,21.756
88499585b9fffff,Iztapalapa,ALTAN Redes,m_download_mbps,5.258
88499585b9fffff,Iztapalapa,AT&T,m_download_mbps,11.06
88499585b9fffff,Iztapalapa,Movistar,m_download_mbps,20.222
88499585b9fffff,Iztapalapa,Telcel,m_download_mbps,43.413
88499585bbfffff,Benito Juárez,ALTAN Redes,m_download_mbps,3.264
88499585bbfffff,Benito Juárez,AT&T,m_download_mbps,15.028
88499585bbfffff,Benito Juárez,Movistar,m_download_mbps,8.544
88499585bbfffff,Benito Juárez,Telcel,m_download_mbps,39.236999999999995
88499585bbfffff,Iztapalapa,ALTAN Redes,m_download_mbps,1.4905
88499585bbfffff,Iztapalapa,AT&T,m_download_mbps,52.474
88499585bbfffff,Iztapalapa,Movistar,m_download_mbps,52.212500000000006
88499585bbfffff,Iztapalapa,Telcel,m_download_mbps,78.28999999999999
88499585bdfffff,Iztapalapa,ALTAN Redes,m_download_mbps,6.623
88499585bdfffff,Iztapalapa,AT&T,m_download_mbps,7.0605
88499585bdfffff,Iztapalapa,Movistar,m_download_mbps,9.6355
88499585bdfffff,Iztapalapa,Telcel,m_download_mbps,33.912
88499585c1fffff,Coyoacán,ALTAN Redes,m_download_mbps,4.979
88499585c1fffff,Coyoacán,AT&T,m_download_mbps,13.933
88499585c1fffff,Coyoacán,Movistar,m_download_mbps,15.145
88499585c1fffff,Coyoacán,Telcel,m_download_mbps,41.917
88499585c3fffff,Coyoacán,ALTAN Redes,m_download_mbps,18.6085
88499585c3fffff,Coyoacán,AT&T,m_download_mbps,18.477
88499585c3fffff,Coyoacán,Movistar,m_download_mbps,20.431
88499585c3fffff,Coyoacán,Telcel,m_download_mbps,44.419
88499585c5fffff,Coyoacán,ALTAN Redes,m_download_mbps,13.086
88499585c5fffff,Coyoacán,AT&T,m_download_mbps,14.97
88499585c5fffff,Coyoacán,Movistar,m_download_mbps,16.012
88499585c5fffff,Coyoacán,Telcel,m_download_mbps,22.229
88499585c7fffff,Coyoacán,ALTAN Redes,m_download_mbps,25.262
88499585c7fffff,Coyoacán,AT&T,m_download_mbps,30.719
88499585c7fffff,Coyoacán,Movistar,m_download_mbps,52.136
88499585c7fffff,Coyoacán,Telcel,m_download_mbps,64.972
88499585c9fffff,Coyoacán,ALTAN Redes,m_download_mbps,9.223
88499585c9fffff,Coyoacán,AT&T,m_download_mbps,29.740000000000002
88499585c9fffff,Coyoacán,Movistar,m_download_mbps,23.801000000000002
88499585c9fffff,Coyoacán,Telcel,m_download_mbps,40.534
88499585cbfffff,Coyoacán,ALTAN Redes,m_download_mbps,4.507
88499585cbfffff,Coyoacán,AT&T,m_download_mbps,23.2105
88499585cbfffff,Coyoacán,Movistar,m_download_mbps,10.357
88499585cbfffff,Coyoacán,Telcel,m_download_mbps,40.891
88499585cdfffff,Coyoacán,ALTAN Redes,m_download_mbps,3.985
88499585cdfffff,Coyoacán,AT&T,m_download_mbps,2.9605
88499585cdfffff,Coyoacán,Movistar,m_download_mbps,15.853
88499585cdfffff,Coyoacán,Telcel,m_download_mbps,29.584
88499585d1fffff,Coyoacán,ALTAN Redes,m_download_mbps,17.4195
88499585d1fffff,Coyoacán,AT&T,m_download_mbps,18.51
88499585d1fffff,Coyoacán,Movistar,m_download_mbps,12.5275
88499585d1fffff,Coyoacán,Telcel,m_download_mbps,41.234
88499585d3fffff,Coyoacán,ALTAN Redes,m_download_mbps,2.959
88499585d3fffff,Coyoacán,AT&T,m_download_mbps,11.211
88499585d3fffff,Coyoacán,Movistar,m_download_mbps,22.005
88499585d3fffff,Coyoacán,Telcel,m_download_mbps,71.121
88499585d5fffff,Coyoacán,ALTAN Redes,m_download_mbps,9.862
88499585d5fffff,Coyoacán,AT&T,m_download_mbps,8.824
88499585d5fffff,Coyoacán,Movistar,m_download_mbps,14.3005
88499585d5fffff,Coyoacán,Telcel,m_download_mbps,37.001000000000005
88499585d7fffff,Coyoacán,ALTAN Redes,m_download_mbps,17.61
88499585d7fffff,Coyoacán,AT&T,m_download_mbps,17.926
88499585d7fffff,Coyoacán,Movistar,m_download_mbps,30.278
88499585d7fffff,Coyoacán,Telcel,m_download_mbps,49.541
88499585d9fffff,Coyoacán,ALTAN Redes,m_download_mbps,12.165
88499585d9fffff,Coyoacán,AT&T,m_download_mbps,9.32
88499585d9fffff,Coyoacán,Movistar,m_download_mbps,16.472
88499585d9fffff,Coyoacán,Telcel,m_download_mbps,33.699
88499585dbfffff,Coyoacán,ALTAN Redes,m_download_mbps,8.559
88499585dbfffff,Coyoacán,AT&T,m_download_mbps,13.672
88499585dbfffff,Coyoacán,Movistar,m_download_mbps,23.124000000000002
88499585dbfffff,Coyoacán,Telcel,m_download_mbps,88.31649999999999
88499585ddfffff,Coyoacán,ALTAN Redes,m_download_mbps,11.4585
88499585ddfffff,Coyoacán,AT&T,m_download_mbps,28.022
88499585ddfffff,Coyoacán,Movistar,m_download_mbps,27.727
88499585ddfffff,Coyoacán,Telcel,m_download_mbps,42.9165
88499585e1fffff,Coyoacán,ALTAN Redes,m_download_mbps,5.6129999999999995
88499585e1fffff,Coyoacán,AT&T,m_download_mbps,26.743
88499585e1fffff,Coyoacán,Movistar,m_download_mbps,20.185
88499585e1fffff,Coyoacán,Telcel,m_download_mbps,2.3055000000000003
88499585e1fffff,Iztapalapa,ALTAN Redes,m_download_mbps,4.6175
88499585e1fffff,Iztapalapa,AT&T,m_download_mbps,9.086500000000001
88499585e1fffff,Iztapalapa,Movistar,m_download_mbps,27.975
88499585e1fffff,Iztapalapa,Telcel,m_download_mbps,0.962
88499585e3fffff,Coyoacán,ALTAN Redes,m_download_mbps,12.7275
88499585e3fffff,Coyoacán,AT&T,m_download_mbps,17.177
88499585e3fffff,Coyoacán,Movistar,m_download_mbps,11.649
88499585e3fffff,Coyoacán,Telcel,m_download_mbps,19.838
88499585e3fffff,Iztapalapa,Telcel,m_download_mbps,32.397999999999996
88499585e5fffff,Iztapalapa,ALTAN Redes,m_download_mbps,1.603
88499585e5fffff,Iztapalapa,AT&T,m_download_mbps,22.788
88499585e5fffff,Iztapalapa,Movistar,m_download_mbps,15.280000000000001
88499585e5fffff,Iztapalapa,Telcel,m_download_mbps,14.7955
88499585e7fffff,Coyoacán,Movistar,m_download_mbps,34.612
88499585e7fffff,Iztapalapa,ALTAN Redes,m_download_mbps,2.159
88499585e7fffff,Iztapalapa,AT&T,m_download_mbps,2.02
88499585e7fffff,Iztapalapa,Movistar,m_download_mbps,1.729
88499585e7fffff,Iztapalapa,Telcel,m_download_mbps,9.2075
88499585e9fffff,Coyoacán,ALTAN Redes,m_download_mbps,10.884
88499585e9fffff,Coyoacán,AT&T,m_download_mbps,48.508
88499585e9fffff,Coyoacán,Movistar,m_download_mbps,35.341
88499585e9fffff,Coyoacán,Telcel,m_download_mbps,22.9045
88499585ebfffff,Coyoacán,ALTAN Redes,m_download_mbps,10.36
88499585ebfffff,Coyoacán,AT&T,m_download_mbps,30.058
88499585ebfffff,Coyoacán,Movistar,m_download_mbps,21.17
88499585ebfffff,Coyoacán,Telcel,m_download_mbps,101.2805
88499585edfffff,Coyoacán,ALTAN Redes,m_download_mbps,7.036
88499585edfffff,Coyoacán,AT&T,m_download_mbps,28.4685
88499585edfffff,Coyoacán,Movistar,m_download_mbps,28.439
88499585edfffff,Coyoacán,Telcel,m_download_mbps,18.2935
88499585edfffff,Iztapalapa,ALTAN Redes,m_download_mbps,2.744
88499585edfffff,Iztapalapa,AT&T,m_download_mbps,20.306
88499585edfffff,Iztapalapa,Movistar,m_download_mbps,23.496499999999997
88499585edfffff,Iztapalapa,Telcel,m_download_mbps,24.085
8849958601fffff,Tlalpan,ALTAN Redes,m_download_mbps,44.986000000000004
8849958601fffff,Tlalpan,AT&T,m_download_mbps,74.64
8849958601fffff,Tlalpan,Movistar,m_download_mbps,48.546
8849958601fffff,Tlalpan,Telcel,m_download_mbps,64.452
8849958605fffff,Tlalpan,ALTAN Redes,m_download_mbps,14.399000000000001
8849958605fffff,Tlalpan,AT&T,m_download_mbps,6.451499999999999
8849958605fffff,Tlalpan,Movistar,m_download_mbps,0.75
8849958605fffff,Tlalpan,Telcel,m_download_mbps,29.069
8849958607fffff,Tlalpan,ALTAN Redes,m_download_mbps,0.119
8849958607fffff,Tlalpan,Telcel,m_download_mbps,22.544
8849958609fffff,Tlalpan,ALTAN Redes,m_download_mbps,13.825
8849958609fffff,Tlalpan,AT&T,m_download_mbps,8.947
8849958609fffff,Tlalpan,Movistar,m_download_mbps,20.8425
8849958609fffff,Tlalpan,Telcel,m_download_mbps,35.498
884995860bfffff,Tlalpan,ALTAN Redes,m_download_mbps,12.392
884995860bfffff,Tlalpan,AT&T,m_download_mbps,2.557
884995860bfffff,Tlalpan,Movistar,m_download_mbps,2.662
884995860bfffff,Tlalpan,Telcel,m_download_mbps,21.336
8849958617fffff,Tlalpan,AT&T,m_download_mbps,5.054
8849958619fffff,Tlalpan,ALTAN Redes,m_download_mbps,2.711
884995861bfffff,Tlalpan,ALTAN Redes,m_download_mbps,8.926
8849958621fffff,Tlalpan,ALTAN Redes,m_download_mbps,3.71
8849958621fffff,Tlalpan,AT&T,m_download_mbps,3.144
8849958621fffff,Tlalpan,Movistar,m_download_mbps,11.7415
8849958621fffff,Tlalpan,Telcel,m_download_mbps,50.325
8849958623fffff,Tlalpan,ALTAN Redes,m_download_mbps,13.422
8849958623fffff,Tlalpan,AT&T,m_download_mbps,28.935
8849958623fffff,Tlalpan,Movistar,m_download_mbps,26.75
8849958623fffff,Tlalpan,Telcel,m_download_mbps,21.076
8849958625fffff,Tlalpan,ALTAN Redes,m_download_mbps,8.026
8849958625fffff,Tlalpan,AT&T,m_download_mbps,1.311
8849958625fffff,Tlalpan,Movistar,m_download_mbps,0.6585
8849958625fffff,Tlalpan,Telcel,m_download_mbps,19.429
8849958627fffff,Tlalpan,ALTAN Redes,m_download_mbps,5.232
8849958627fffff,Tlalpan,AT&T,m_download_mbps,8.3905
8849958627fffff,Tlalpan,Movistar,m_download_mbps,18.1035
8849958627fffff,Tlalpan,Telcel,m_download_mbps,24.561
8849958629fffff,Tlalpan,ALTAN Redes,m_download_mbps,22.836
8849958629fffff,Tlalpan,AT&T,m_download_mbps,2.764
8849958629fffff,Tlalpan,Movistar,m_download_mbps,5.622
8849958629fffff,Tlalpan,Telcel,m_download_mbps,38.898
884995862bfffff,Tlalpan,ALTAN Redes,m_download_mbps,9.07
884995862bfffff,Tlalpan,AT&T,m_download_mbps,8.921
884995862bfffff,Tlalpan,Movistar,m_download_mbps,49.66
884995862bfffff,Tlalpan,Telcel,m_download_mbps,32.492
884995862dfffff,Tlalpan,ALTAN Redes,m_download_mbps,13.091
884995862dfffff,Tlalpan,AT&T,m_download_mbps,16.92
884995862dfffff,Tlalpan,Movistar,m_download_mbps,11.571
884995862dfffff,Tlalpan,Telcel,m_download_mbps,31.9535
8849958631fffff,Tlalpan,ALTAN Redes,m_download_mbps,38.826
8849958631fffff,Tlalpan,Movistar,m_download_mbps,5.714
8849958631fffff,Tlalpan,Telcel,m_download_mbps,7.55
8849958633fffff,Tlalpan,ALTAN Redes,m_download_mbps,13.1005
8849958635fffff,Tlalpan,ALTAN Redes,m_download_mbps,18.0895
8849958635fffff,Tlalpan,AT&T,m_download_mbps,9.4095
8849958635fffff,Tlalpan,Movistar,m_download_mbps,42.106
8849958635fffff,Tlalpan,Telcel,m_download_mbps,39.522
8849958637fffff,Tlalpan,ALTAN Redes,m_download_mbps,9.067
8849958637fffff,Tlalpan,AT&T,m_download_mbps,22.9895
8849958637fffff,Tlalpan,Movistar,m_download_mbps,41.696
8849958637fffff,Tlalpan,Telcel,m_download_mbps,0.474
8849958639fffff,Tlalpan,ALTAN Redes,m_download_mbps,9.661
8849958639fffff,Tlalpan,Telcel,m_download_mbps,9.038
884995863bfffff,Tlalpan,ALTAN Redes,m_download_mbps,10.971
884995863dfffff,Tlalpan,ALTAN Redes,m_download_mbps,7.2195
884995863dfffff,Tlalpan,Movistar,m_download_mbps,17.262
884995863dfffff,Tlalpan,Telcel,m_download_mbps,17.909
8849958641fffff,Tlalpan,ALTAN Redes,m_download_mbps,6.9670000000000005
8849958641fffff,Tlalpan,AT&T,m_download_mbps,10.9555
8849958641fffff,Tlalpan,Movistar,m_download_mbps,7.184
8849958641fffff,Tlalpan,Telcel,m_download_mbps,41.816
8849958643fffff,Tlalpan,ALTAN Redes,m_download_mbps,3.8375000000000004
8849958643fffff,Tlalpan,AT&T,m_download_mbps,0.473
8849958643fffff,Tlalpan,Movistar,m_download_mbps,0.843
8849958643fffff,Tlalpan,Telcel,m_download_mbps,66.369
8849958645fffff,Tlalpan,ALTAN Redes,m_download_mbps,8.8875
8849958645fffff,Tlalpan,Movistar,m_download_mbps,4.019
8849958645fffff,Tlalpan,Telcel,m_download_mbps,40.358000000000004
8849958647fffff,Tlalpan,ALTAN Redes,m_download_mbps,0.98
8849958647fffff,Tlalpan,Movistar,m_download_mbps,19.284
8849958647fffff,Tlalpan,Telcel,m_download_mbps,73.0125
8849958649fffff,Tlalpan,ALTAN Redes,m_download_mbps,4.177
884995864bfffff,Tlalpan,ALTAN Redes,m_download_mbps,2.787
884995864bfffff,Tlalpan,Movistar,m_download_mbps,83.148
